init_state,Value
o xx oox ,0
o  o  xx ,1
ox o  xx ,1
 o    xx ,0
 o  o xx ,1
ox  x  ox,0
ox ox  ox,0
xx   o   ,-1
xx   oo  ,1
ox  xxo  ,-1
ox oxxo  ,-1
 xoxoo x ,-1
 xoxoo xx,-1
 xoox oxx,1
 o    oxx,0
 ox   oxx,0
 oxo x   ,1
xo x   o ,1
xo xx  o ,1
  o ox x ,0
 x o o xx,-1
 x ooo xx,-1
x  oxx oo,0
ox  xo ox,0
ox xxo ox,0
x   xo  o,1
   x o xo,1
x  x o xo,-1
 x o   ox,1
xx o   ox,1
 x  o x  ,0
 x  o x o,1
x   ooxox,1
xx  ooxox,-1
xo  x    ,1
xo  x   o,1
o xx ox  ,0
ooxx ox  ,1
 oxx  oox,1
 oxx xoox,1
 o    x  ,1
  o    x ,1
  ox   x ,-1
oxoox   x,1
oxooxx  x,-1
ox xx oo ,1
ox xx oox,0
xo    o x,1
xo  x o x,1
x  xox  o,-1
x  xox oo,1
 ox oox x,1
 ox ooxxx,1
 oxxxo  o,1
 oxxxo xo,0
 oxo ox x,1
 oxoxox x,1
x xxooo x,0
x  oo x x,-1
xo oo x x,1
x xoox  o,1
   oo x x,1
   oo xxx,1
o  xx xoo,1
ox xx xoo,1
  xoxo   ,1
  xoxox  ,1
xo x ooxx,0
xoox ooxx,1
 o  x x  ,1
 oo x x  ,1
 x x o  o,1
 x xxo  o,-1
  xoo  x ,0
  xoo xx ,-1
ox   xox ,-1
ox o xox ,-1
x  xo  ox,-1
x x  oo x,1
  x  o  x,0
o  x ox  ,0
o  xxox  ,-1
 xoox    ,1
 xooxx   ,0
 oxox    ,1
 oxoxx   ,1
 oxx     ,0
 oxx   o ,1
  x ox   ,0
 ox ox   ,1
x oo   x ,1
  xo oxx ,-1
  xoooxx ,-1
 xxx o oo,1
xxxx o oo,1
oxoo  x x,1
oxoox x x,0
o xoo x x,1
oxxoo x x,-1
 o x ox x,1
oo x ox x,1
oox  x   ,1
oox  x x ,1
 xo    xo,1
 xo  x xo,-1
o x  oxox,1
o x xoxox,1
 xo  ox  ,1
 xo  oxx ,-1
 xoxo xo ,1
 xoxo xox,0
ox xx o o,1
ox xx oxo,1
  xooxox ,1
  xooxoxx,1
x x    oo,1
xxx    oo,1
xx  o  xo,-1
xx  o oxo,1
xoo oxxx ,1
xoo oxxxo,1
x o ox x ,-1
xx xoxoo ,-1
xx xoxooo,-1
oo xox x ,-1
ooxxox x ,-1
  x xo  o,1
      ox ,0
x     ox ,0
oxx  o xo,1
oxx  oxxo,-1
 xo    x ,-1
 xoo   x ,1
o   x    ,0
o   x   x,0
oxoxooxx ,1
oxoxooxxx,1
xo       ,1
xo  xxoxo,0
xoo xxoxo,1
 x o   xo,1
xx o   xo,1
 x oxoxo ,1
 xxoxoxo ,1
x oo   xx,1
 x  xo   ,1
 x  xo o ,1
 x   o ox,1
 x  xo ox,0
oox  oxx ,1
oox  oxxx,1
xo  oxo x,1
xo  ox   ,0
xo  ox  x,-1
oo xxox  ,1
xo oxx o ,1
ox o ox x,1
ox oxox x,1
 xxxoo ox,0
oxxxoo ox,0
ooxxx  xo,1
ooxxxo xo,1
oo xxooxx,0
ooxxxooxx,0
o xx  oox,1
x x oo x ,-1
xox oo x ,0
xx x  o o,-1
xx x oo o,1
    o xxo,0
x    oox ,1
x x  oox ,0
oo    xx ,1
oo    xxx,1
oxxx ox o,-1
oxxxoox o,-1
    xoxo ,1
 x  xoxo ,0
xo  xoox ,1
xox xoox ,0
  o oxx x,0
 o  oxxx ,0
 ooxox  x,-1
  oooxx x,1
 xoooxx x,0
x xo  xo ,1
x xoo xo ,1
 oox  oxx,-1
xoox  oxx,-1
 x xo  o ,1
 xxxo  o ,0
oo xxox x,-1
 ox oo xx,1
xox oo xx,-1
   ox xxo,1
  oox xxo,1
 xo xx  o,1
 xo xx oo,1
x x  o xo,1
x xo o xo,1
 xo  ox x,1
oxo  ox x,1
ox o xx  ,1
ox ooxx  ,1
   xxo  o,0
x  xxo  o,-1
x x    o ,1
x xo   o ,1
oxo xx   ,1
x xo xoo ,1
x xo xoox,1
 xoxo x  ,0
 xoxoox  ,1
 x ox  o ,1
 x xx ooo,-1
ox  xxo o,1
ox xxxo o,1
o  xxoxox,0
oo xxoxox,1
xoxx    o,0
xoxx o  o,1
o xx xxoo,-1
ooxx xxoo,1
x xx ooox,1
xoxx ooox,1
   x  x o,1
 o x  x o,1
x xo  oxo,1
x xox oxo,0
ooxx o  x,1
 xo     x,0
oxo     x,1
o xxo  x ,-1
o xxo ox ,0
  xxo    ,0
  xxo  o ,0
xoo   x  ,1
     oxxo,-1
   x oxxo,-1
oo  oxxx ,1
 o  o x x,1
xo  o x x,-1
x oox ox ,1
x oox oxx,1
o xoo xxx,1
 xxx oo o,1
 xxxxoo o,-1
 x oox  x,0
 xooox  x,0
o oxx xxo,-1
oooxx xxo,-1
oxo  x xo,1
oo  xxxo ,1
 o  x    ,1
 o xx    ,1
  x xxo o,-1
 o o xx  ,1
xo o xx  ,0
ox o xxo ,1
xox   oox,1
xoxx  oox,-1
  oo  xxx,1
oo xx   x,-1
oooxx   x,-1
xx ooxo x,-1
xx ooxoox,1
x oo xx o,0
x ooxxx o,0
  x x  oo,1
  xxx  oo,-1
  x xo o ,1
 xx xo o ,1
x   xox o,-1
 ox xx  o,1
xxo   xoo,1
ox xo ox ,-1
ox xo oxx,-1
x  x  o o,-1
x  xx o o,-1
ox x xo o,1
oxxx xo o,-1
  xoxx o ,1
 oxoxx o ,1
oox xx  o,1
oox xxx o,1
ox x oxxo,-1
oxox oxxo,-1
xooxx  xo,-1
xooxx oxo,1
  xo  o x,1
  xox o x,-1
x ox oo x,1
x oxxoo x,1
xoxxo o x,-1
xoxxo oox,-1
 x  oxoxo,-1
xx  oxoxo,-1
x   oxox ,-1
x o oxox ,-1
ox o    x,1
  ooxx  x,-1
  ooxxo x,1
xoo   xxo,1
xoo x xxo,-1
 o o x xx,1
 o oox xx,1
o o x oxx,1
o o xxoxx,-1
oxox ox  ,0
oxoxxox  ,-1
x   x oxo,0
x o x oxo,1
xx  oo   ,1
xx  oo  x,-1
ox xoo  x,0
oxxxoo  x,0
xoxx   o ,-1
  xo o  x,1
x xo o  x,-1
x o xxoox,1
 x xo ox ,-1
 xoxo ox ,-1
o   xxoxo,1
ox  xxoxo,1
 x o oxx ,-1
 x oooxx ,-1
x o xx  o,0
x ooxx  o,0
o xxox  o,-1
 ox x    ,1
 ox x  o ,1
 ox o x  ,0
 ox o xx ,0
         ,0
o oxo x x,1
oxoxo x x,0
o x  oxxo,1
o x xoxxo,1
ox oxx o ,0
oxxoxx o ,-1
x x ox oo,1
    xo  x,1
    xoo x,1
xoxo     ,1
xoxox    ,1
oox   xxo,1
oox  xxxo,-1
 ooxxoxox,1
xooxxoxox,1
o xx oo x,0
 ox o x x,-1
o o oxxx ,1
o o oxxxx,1
  xo    x,1
  xo   ox,1
oxo x xox,0
oxoox xox,0
ooxxo xx ,-1
ooxxo xxo,-1
 oxxo o x,1
 oxxoxo x,1
xoxxooo x,0
xoxxoooxx,0
 x oo x  ,0
oox x o x,1
  o xox x,1
 oo xox x,1
 xooo xx ,1
xo  ox xo,0
xo  oxxxo,0
oo xx  xo,1
oo xx xxo,-1
x o xoox ,1
x o xooxx,1
ox x o xo,1
oxxx o xo,-1
x x ooox ,1
x xxooox ,0
 xxoxooox,1
  xxox  o,-1
xx  oxoox,-1
  x oxx o,-1
 oxox o x,1
oxxxxo  o,1
oxxxxo oo,1
 ooxoxx x,-1
oooxoxx x,-1
 o x oxx ,1
ox oxxx o,1
ox oxxxoo,1
   o  x x,1
o  o  x x,1
 xxxooxo ,0
 oxx oox ,0
xoxx oox ,0
 o o  x x,1
o ooxx x ,1
ox  xox  ,1
ox  xoxo ,1
x o   xox,1
xoxooxox ,1
xoxooxoxx,1
  x   o  ,1
  x   o x,1
xxoxo    ,-1
xxoxo o  ,-1
 o xx   o,1
 x xox oo,-1
 x xoxxoo,-1
xo    xxo,0
xo  o xxo,1
 x xo    ,0
ox xo    ,0
 o xox   ,-1
 o xox x ,-1
 oxxo oxx,0
 oxxoooxx,0
xooxxooxx,1
xo o  x x,1
 x  ooxxo,-1
 x xooxxo,-1
x  xo oox,-1
